File name,Package name,File size,Package size,File size in package (%),File size in system (%)
bin/busybox,busybox,933008,942242,99.0,2.8
etc/inittab,busybox,1281,942242,0.1,0.0
usr/share/udhcpc/default.script,busybox,3133,942242,0.3,0.0
etc/init.d/S01syslogd,busybox,1012,942242,0.1,0.0
etc/init.d/S02klogd,busybox,1004,942242,0.1,0.0
etc/init.d/S02sysctl,busybox,2804,942242,0.3,0.0
usr/bin/coremark,coremark,17796,17796,100.0,0.1
usr/bin/dhrystone,dhrystone,17752,17752,100.0,0.1
usr/bin/dhrystone-opt,dhrystone-opt,17740,17740,100.0,0.1
lib/ld-linux-riscv32-ilp32.so.1,glibc,153700,2426104,6.3,0.5
lib/libanl.so.1,glibc,5148,2426104,0.2,0.0
lib/libc.so.6,glibc,1274664,2426104,52.5,3.8
lib/libcrypt.so.1,glibc,29964,2426104,1.2,0.1
lib/libdl.so.2,glibc,5148,2426104,0.2,0.0
lib/libm.so.6,glibc,892092,2426104,36.8,2.6
lib/libpthread.so.0,glibc,6308,2426104,0.3,0.0
lib/libresolv.so.2,glibc,38288,2426104,1.6,0.1
lib/librt.so.1,glibc,5348,2426104,0.2,0.0
lib/libutil.so.1,glibc,5148,2426104,0.2,0.0
lib/libnss_files.so.2,glibc,5148,2426104,0.2,0.0
lib/libnss_dns.so.2,glibc,5148,2426104,0.2,0.0
usr/lib/libhavege.so.2.0.0,haveged,107812,143024,75.4,0.3
usr/sbin/haveged,haveged,34808,143024,24.3,0.1
etc/init.d/S21haveged,haveged,404,143024,0.3,0.0
lib/libatomic.so.1.2.0,host-gcc-final,17544,129792,13.5,0.1
lib/libgcc_s.so.1,host-gcc-final,112116,129792,86.4,0.3
lib/libgcc_s.so,host-gcc-final,132,129792,0.1,0.0
etc/network/if-pre-up.d/wait_iface,ifupdown-scripts,576,1937,29.7,0.0
etc/network/nfs_check,ifupdown-scripts,846,1937,43.7,0.0
etc/init.d/S40network,ifupdown-scripts,438,1937,22.6,0.0
etc/network/interfaces,ifupdown-scripts,77,1937,4.0,0.0
etc/init.d/rcK,initscripts,423,831,50.9,0.0
etc/init.d/rcS,initscripts,408,831,49.1,0.0
usr/lib/libiperf.so.0.0.0,iperf3,171680,181276,94.7,0.5
usr/bin/iperf3,iperf3,9596,181276,5.3,0.0
usr/lib/libatomic_ops.so.1.1.1,libatomic_ops,5156,10368,49.7,0.0
usr/lib/libatomic_ops_gpl.so.1.1.3,libatomic_ops,5212,10368,50.3,0.0
usr/lib/libffi.so.8.1.2,libffi,30124,30124,100.0,0.1
etc/ssl/openssl.cnf,libressl,745,4790980,0.0,0.0
etc/ssl/x509v3.cnf,libressl,1006,4790980,0.0,0.0
etc/ssl/cert.pem,libressl,341121,4790980,7.1,1.0
usr/lib/libcrypto.so.50.0.0,libressl,1792492,4790980,37.4,5.3
usr/lib/libssl.so.53.0.0,libressl,321740,4790980,6.7,1.0
usr/lib/libtls.so.26.0.0,libressl,1816456,4790980,37.9,5.4
usr/bin/ocspcheck,libressl,26284,4790980,0.5,0.1
usr/bin/openssl,libressl,491136,4790980,10.3,1.5
usr/lib/libz.so.1.2.13,libzlib,75172,75172,100.0,0.2
usr/bin/netcat,netcat,38612,38612,100.0,0.1
usr/lib/python3.11/site-packages/psutil/_pslinux.pyc,python-psutil,104963,1348528,7.8,0.3
usr/lib/python3.11/site-packages/psutil/_psosx.pyc,python-psutil,23502,1348528,1.7,0.1
usr/lib/python3.11/site-packages/psutil/_pssunos.pyc,python-psutil,33108,1348528,2.5,0.1
usr/lib/python3.11/site-packages/psutil/_psaix.pyc,python-psutil,26849,1348528,2.0,0.1
usr/lib/python3.11/site-packages/psutil/_compat.pyc,python-psutil,21099,1348528,1.6,0.1
usr/lib/python3.11/site-packages/psutil/_psposix.pyc,python-psutil,7458,1348528,0.6,0.0
usr/lib/python3.11/site-packages/psutil/_common.pyc,python-psutil,36245,1348528,2.7,0.1
usr/lib/python3.11/site-packages/psutil/_psbsd.pyc,python-psutil,38765,1348528,2.9,0.1
usr/lib/python3.11/site-packages/psutil/__init__.pyc,python-psutil,95743,1348528,7.1,0.3
usr/lib/python3.11/site-packages/psutil/tests/test_linux.pyc,python-psutil,166019,1348528,12.3,0.5
usr/lib/python3.11/site-packages/psutil/tests/test_system.pyc,python-psutil,63808,1348528,4.7,0.2
usr/lib/python3.11/site-packages/psutil/tests/test_contracts.pyc,python-psutil,54204,1348528,4.0,0.2
usr/lib/python3.11/site-packages/psutil/tests/test_memleaks.pyc,python-psutil,38974,1348528,2.9,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_misc.pyc,python-psutil,59001,1348528,4.4,0.2
usr/lib/python3.11/site-packages/psutil/tests/test_posix.pyc,python-psutil,26306,1348528,2.0,0.1
usr/lib/python3.11/site-packages/psutil/tests/runner.pyc,python-psutil,20204,1348528,1.5,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_bsd.pyc,python-psutil,40856,1348528,3.0,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_aix.pyc,python-psutil,6450,1348528,0.5,0.0
usr/lib/python3.11/site-packages/psutil/tests/test_connections.pyc,python-psutil,35022,1348528,2.6,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_sunos.pyc,python-psutil,2762,1348528,0.2,0.0
usr/lib/python3.11/site-packages/psutil/tests/test_osx.pyc,python-psutil,14305,1348528,1.1,0.0
usr/lib/python3.11/site-packages/psutil/tests/__init__.pyc,python-psutil,91922,1348528,6.8,0.3
usr/lib/python3.11/site-packages/psutil/tests/test_unicode.pyc,python-psutil,20350,1348528,1.5,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_process.pyc,python-psutil,115763,1348528,8.6,0.3
usr/lib/python3.11/site-packages/psutil/tests/test_testutils.pyc,python-psutil,34998,1348528,2.6,0.1
usr/lib/python3.11/site-packages/psutil/tests/__main__.pyc,python-psutil,336,1348528,0.0,0.0
usr/lib/python3.11/site-packages/psutil/_pswindows.pyc,python-psutil,49416,1348528,3.7,0.1
usr/lib/python3.11/site-packages/psutil/tests/test_windows.pyc,python-psutil,62640,1348528,4.6,0.2
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/not-zip-safe,python-psutil,1,1348528,0.0,0.0
usr/lib/python3.11/site-packages/psutil/_psutil_linux.cpython-311-riscv32-linux-gnu.so,python-psutil,18164,1348528,1.3,0.1
usr/lib/python3.11/site-packages/psutil/_psutil_posix.cpython-311-riscv32-linux-gnu.so,python-psutil,13716,1348528,1.0,0.0
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/requires.txt,python-psutil,137,1348528,0.0,0.0
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/top_level.txt,python-psutil,7,1348528,0.0,0.0
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/dependency_links.txt,python-psutil,1,1348528,0.0,0.0
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/PKG-INFO,python-psutil,21078,1348528,1.6,0.1
usr/lib/python3.11/site-packages/psutil-5.9.4-py3.11.egg-info/SOURCES.txt,python-psutil,4356,1348528,0.3,0.0
usr/lib/python3.11/lib-dynload/_lsprof.cpython-311-riscv32-linux-gnu.so,python3,22128,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_random.cpython-311-riscv32-linux-gnu.so,python3,17864,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_contextvars.cpython-311-riscv32-linux-gnu.so,python3,5300,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/array.cpython-311-riscv32-linux-gnu.so,python3,43576,20862148,0.2,0.1
usr/lib/python3.11/lib-dynload/_zoneinfo.cpython-311-riscv32-linux-gnu.so,python3,22312,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/math.cpython-311-riscv32-linux-gnu.so,python3,64112,20862148,0.3,0.2
usr/lib/python3.11/lib-dynload/_heapq.cpython-311-riscv32-linux-gnu.so,python3,17728,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_bisect.cpython-311-riscv32-linux-gnu.so,python3,9708,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/_opcode.cpython-311-riscv32-linux-gnu.so,python3,5424,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/_json.cpython-311-riscv32-linux-gnu.so,python3,26720,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_typing.cpython-311-riscv32-linux-gnu.so,python3,5264,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/_pickle.cpython-311-riscv32-linux-gnu.so,python3,77372,20862148,0.4,0.2
usr/lib/python3.11/lib-dynload/_socket.cpython-311-riscv32-linux-gnu.so,python3,80976,20862148,0.4,0.2
usr/lib/python3.11/lib-dynload/_crypt.cpython-311-riscv32-linux-gnu.so,python3,5316,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/unicodedata.cpython-311-riscv32-linux-gnu.so,python3,1118128,20862148,5.4,3.3
usr/lib/python3.11/lib-dynload/cmath.cpython-311-riscv32-linux-gnu.so,python3,50944,20862148,0.2,0.2
usr/lib/python3.11/lib-dynload/_struct.cpython-311-riscv32-linux-gnu.so,python3,35768,20862148,0.2,0.1
usr/lib/python3.11/lib-dynload/_csv.cpython-311-riscv32-linux-gnu.so,python3,26984,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_datetime.cpython-311-riscv32-linux-gnu.so,python3,79204,20862148,0.4,0.2
usr/lib/python3.11/lib-dynload/_sha1.cpython-311-riscv32-linux-gnu.so,python3,9792,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/_queue.cpython-311-riscv32-linux-gnu.so,python3,14012,20862148,0.1,0.0
usr/lib/python3.11/lib-dynload/syslog.cpython-311-riscv32-linux-gnu.so,python3,9564,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/fcntl.cpython-311-riscv32-linux-gnu.so,python3,17740,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/_xxsubinterpreters.cpython-311-riscv32-linux-gnu.so,python3,26916,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/grp.cpython-311-riscv32-linux-gnu.so,python3,9724,20862148,0.0,0.0
usr/lib/python3.11/lib-dynload/_asyncio.cpython-311-riscv32-linux-gnu.so,python3,45480,20862148,0.2,0.1
usr/lib/python3.11/lib-dynload/_md5.cpython-311-riscv32-linux-gnu.so,python3,13888,20862148,0.1,0.0
usr/lib/python3.11/lib-dynload/select.cpython-311-riscv32-linux-gnu.so,python3,26692,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/mmap.cpython-311-riscv32-linux-gnu.so,python3,22452,20862148,0.1,0.1
usr/lib/python3.11/lib-dynload/spwd.cpython-311-riscv32-linux-gnu.so,python3,9616,20862148,0.0,0.0
